,latitude,longitude,station_name,climate_id,datetime,temp,year,month,feature_id,map,temperature_celsius_avg,temperature_celsius_min,temperature_celsius_max,temperature_celsius_yoy_avg
32,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 16:00,23.7,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
33,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 16:00,23.7,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
34,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 17:00,22.3,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
35,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 17:00,22.3,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
36,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 18:00,21.3,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
37,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 18:00,21.3,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
38,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 19:00,20.3,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
39,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 19:00,20.3,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
40,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 20:00,19.6,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
41,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 20:00,19.6,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
42,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 21:00,18.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
43,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 21:00,18.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
44,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 22:00,17.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
45,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 22:00,17.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
46,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 23:00,16.9,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
