,latitude,longitude,station_name,climate_id,datetime,temp,feature_id,map
0,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 00:00,18.9,0e31fef3d05311d892e2080020a0f4c9,030M11
1,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 00:00,18.9,582aeb6dc6ce11d892e2080020a0f4c9,030M04
2,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 01:00,18.4,0e31fef3d05311d892e2080020a0f4c9,030M11
3,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 01:00,18.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
4,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 02:00,18.9,0e31fef3d05311d892e2080020a0f4c9,030M11
5,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 02:00,18.9,582aeb6dc6ce11d892e2080020a0f4c9,030M04
6,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 03:00,18.8,0e31fef3d05311d892e2080020a0f4c9,030M11
7,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 03:00,18.8,582aeb6dc6ce11d892e2080020a0f4c9,030M04
8,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 04:00,20.0,0e31fef3d05311d892e2080020a0f4c9,030M11
9,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 04:00,20.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
10,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 05:00,20.0,0e31fef3d05311d892e2080020a0f4c9,030M11
11,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 05:00,20.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
12,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 06:00,19.9,0e31fef3d05311d892e2080020a0f4c9,030M11
13,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 06:00,19.9,582aeb6dc6ce11d892e2080020a0f4c9,030M04
14,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 07:00,20.4,0e31fef3d05311d892e2080020a0f4c9,030M11
15,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 07:00,20.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
16,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 08:00,21.9,0e31fef3d05311d892e2080020a0f4c9,030M11
17,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 08:00,21.9,582aeb6dc6ce11d892e2080020a0f4c9,030M04
18,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 09:00,23.5,0e31fef3d05311d892e2080020a0f4c9,030M11
19,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 09:00,23.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
20,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 10:00,24.7,0e31fef3d05311d892e2080020a0f4c9,030M11
21,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 10:00,24.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
22,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 11:00,24.4,0e31fef3d05311d892e2080020a0f4c9,030M11
23,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 11:00,24.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
24,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 12:00,24.5,0e31fef3d05311d892e2080020a0f4c9,030M11
25,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 12:00,24.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
26,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 13:00,25.2,0e31fef3d05311d892e2080020a0f4c9,030M11
27,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 13:00,25.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
28,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 14:00,25.4,0e31fef3d05311d892e2080020a0f4c9,030M11
29,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 14:00,25.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
30,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 15:00,25.3,0e31fef3d05311d892e2080020a0f4c9,030M11
31,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 15:00,25.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
32,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 16:00,23.7,0e31fef3d05311d892e2080020a0f4c9,030M11
33,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 16:00,23.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
34,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 17:00,22.3,0e31fef3d05311d892e2080020a0f4c9,030M11
35,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 17:00,22.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
36,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 18:00,21.3,0e31fef3d05311d892e2080020a0f4c9,030M11
37,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 18:00,21.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
38,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 19:00,20.3,0e31fef3d05311d892e2080020a0f4c9,030M11
39,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 19:00,20.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
40,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 20:00,19.6,0e31fef3d05311d892e2080020a0f4c9,030M11
